ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Afghanistan,2020-04-01T00:00:00.000Z,235,4,85393,66.02652977,33.83890116,Afghanistan,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
Oman,2020-04-01T00:00:00.000Z,231,1,85394,56.10981747,20.60208368,Oman,阿曼,Oman,Omán,Оман,عمان
occupied Palestinian territory,2020-04-01T00:00:00.000Z,134,1,85395,35.20376878,31.91395114,occupied Palestinian territory,"巴勒斯坦被占领土
",,,,
Djibouti,2020-04-01T00:00:00.000Z,34,0,85396,42.5779403,11.7498128,Djibouti,吉布提,Djibouti,Djibouti,Джибути,جيبوتي
Libya,2020-04-01T00:00:00.000Z,10,0,85397,18.02318627,27.04404524,Libya,利比亚,Libye,Libia,Ливия,ليبيا
Syrian Arab Republic,2020-04-01T00:00:00.000Z,10,3,85398,38.50584744,35.01307272,Syrian Arab Republic,阿拉伯叙利亚共和国,République arabe syrienne,República Árabe Siria,Сирийская Арабская Республика,الجمهورية العربية السورية
Sudan,2020-04-01T00:00:00.000Z,7,2,85399,30.00438135,16.04883821,Sudan,苏丹,Soudan,Sudán,Судан,السودان
Somalia,2020-04-01T00:00:00.000Z,5,0,85400,45.86255927,6.0637135,Somalia,索马里,Somalie,Somalia,Сомали,الصومال
United States of America,2020-04-01T00:00:00.000Z,187302,3846,85401,-112.4935645,45.6954816,United States of America,美利坚合众国,États-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,الولايات المتحدة الأمريكية 
Canada,2020-04-01T00:00:00.000Z,9005,105,85402,-98.26094698,61.3930667,Canada,加拿大,Canada,Canadá,Канада,كندا
Brazil,2020-04-01T00:00:00.000Z,5717,201,85403,-53.08875436,-10.7722828,Brazil,巴西,Brésil,Brasil,Бразилия,البرازيل
Chile,2020-04-01T00:00:00.000Z,3031,16,85404,-71.38009385,-37.86811922,Chile,智利,Chili,Chile,Чили,شيلي
Ecuador,2020-04-01T00:00:00.000Z,2372,146,85405,-78.78096177,-1.42528337,Ecuador,厄瓜多尔,Équateur,Ecuador,Эквадор,إكوادور
Peru,2020-04-01T00:00:00.000Z,1323,24,85406,-74.37540668,-9.16377133,Peru,秘鲁,Pérou,Perú,Перу,بيرو
