"","Country.Region","WHO.region","Dates","Cases","Date","Type","Date_Flag","lockdown","CENTER_LON","CENTER_LAT"
"2534","Costa Rica","Region of the Americas",2020-02-07,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2535","Costa Rica","Region of the Americas",2020-02-08,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2536","Costa Rica","Region of the Americas",2020-02-09,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2537","Costa Rica","Region of the Americas",2020-02-10,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2538","Costa Rica","Region of the Americas",2020-02-11,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2539","Costa Rica","Region of the Americas",2020-02-12,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2540","Costa Rica","Region of the Americas",2020-02-13,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2541","Costa Rica","Region of the Americas",2020-02-14,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2542","Costa Rica","Region of the Americas",2020-02-15,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2543","Costa Rica","Region of the Americas",2020-02-16,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2544","Costa Rica","Region of the Americas",2020-02-17,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2545","Costa Rica","Region of the Americas",2020-02-18,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2546","Costa Rica","Region of the Americas",2020-02-19,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2547","Costa Rica","Region of the Americas",2020-02-20,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2548","Costa Rica","Region of the Americas",2020-02-21,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2549","Costa Rica","Region of the Americas",2020-02-22,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2550","Costa Rica","Region of the Americas",2020-02-23,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2551","Costa Rica","Region of the Americas",2020-02-24,0,2020-03-15,1,0,1,-84.18903867,9.97052135
"2552","Costa Rica","Region of the Americas",2020-02-25,0,2020-03-15,1,0,1,-84.18903867,9.97052135
